POS,VAL,%,ACT-VAL,CH,FREQNum,FREQValue,FRAME
30,553.2333984375,58.586262848136805,57,A,0,0.0,0
1,372.224476258664,27.44670332164883,26,A,1,43.06640625,1
28,504.91808345627487,73.4895587514279,72,A,2,86.1328125,2
38,593.383693904658,49.88662046896695,48,A,2,86.1328125,2
37,475.371713830011,42.02287659976862,41,A,3,129.19921875,3
24,201.66828480786023,37.3847497113071,36,A,4,172.265625,4
32,84.65968198234526,20.51446624761209,19,A,5,215.33203125,5
37,138.52060464069734,32.793849963845936,31,A,6,258.3984375,6
42,101.80732261935913,27.60690296502379,26,A,7,301.46484375,7
47,88.73438095831494,24.061937606753613,23,A,7,301.46484375,7
27,62.851913241786576,28.248496166124482,27,A,8,344.53125,8
47,58.807878946871654,26.430924013052298,25,A,8,344.53125,8
37,87.65299808502701,38.04843793779991,37,A,9,387.59765625,9
32,124.44291489465238,66.27640764682465,65,A,10,430.6640625,10
32,91.98623745814547,39.07749897904326,38,A,11,473.73046875,11
37,99.43002406458993,42.23976076462726,41,A,11,473.73046875,11
4,33.54662447738795,20.270559723559998,19,A,12,516.796875,12
32,28.206639298650117,17.04387178774421,16,A,12,516.796875,12
37,27.732974774065127,47.72167749664159,46,A,12,516.796875,12
27,42.43945144088582,25.443364142312408,24,A,13,559.86328125,13
42,39.83333715657116,23.880942563309176,22,A,13,559.86328125,13
32,38.59041039559179,28.729034061061743,27,A,14,602.9296875,14
32,46.756822940971844,40.73006429973853,39,A,15,645.99609375,15
37,23.832671720260095,21.41370688924712,20,A,16,689.0625,16
42,29.27213970930424,26.30108059698863,25,A,16,689.0625,16
37,46.8259515330375,48.24910062060723,47,A,17,732.12890625,17
37,52.76691037425715,48.24536383407834,47,A,18,775.1953125,18
32,18.819030985101136,17.204896072352476,16,A,19,818.26171875,19
756,19.600947157088626,17.919746188013956,16,A,19,818.26171875,19
37,36.33262241555762,34.48184478221951,33,A,20,861.328125,20
27,34.17070356017108,30.526298281842244,29,A,21,904.39453125,21
42,25.86293683114704,29.973621792643428,28,A,22,947.4609375,22
37,33.91805301161135,46.83941600141997,45,A,23,990.52734375,23
37,31.192538072957603,41.24710452615326,40,A,24,1033.59375,24
4,22.090870195419484,30.75709237974572,29,A,25,1076.66015625,25
37,26.722106570744046,37.20515729381288,36,A,25,1076.66015625,25
27,29.202604913662242,39.30135849094505,38,A,26,1119.7265625,26
37,33.98095276676419,45.732139666953714,44,A,26,1119.7265625,26
37,18.627388508020758,26.95120472097019,25,A,27,1162.79296875,27
37,34.10112853407004,41.92079502221266,40,A,28,1205.859375,28
37,67.689833332517,89.35518315747703,88,A,29,1248.92578125,29
4,13.737219796183545,21.782161949430193,20,A,30,1291.9921875,30
9,32.627207364200686,40.67164194362911,39,A,31,1335.05859375,31
42,36.77720282989448,45.84484379827448,44,A,31,1335.05859375,31
24,59.264526929464694,77.64406914995631,76,A,32,1378.125,32
37,23.083754499723362,37.14059527603323,36,A,33,1421.19140625,33
32,15.807494302532625,27.133722372975882,26,A,34,1464.2578125,34
9,13.26269524149022,26.530899115412588,25,A,35,1507.32421875,35
42,12.996187632730795,25.997773204521817,24,A,35,1507.32421875,35
37,33.248398908386676,44.94429460858214,43,A,36,1550.390625,36
46,13.230124371904282,24.01186924667402,23,A,37,1593.45703125,37
202,10.758956679127493,19.526850522921794,18,A,37,1593.45703125,37
512,12.119283327025386,21.99576046540551,20,A,37,1593.45703125,37
1083,12.480377921369637,22.65112514236107,21,A,37,1593.45703125,37
27,36.45235989845965,61.45312401345795,60,A,38,1636.5234375,38
24,18.276694865404316,35.87775837120331,34,A,39,1679.58984375,39
27,22.546023950307138,44.25859300478002,43,A,39,1679.58984375,39
14,18.76491208265918,29.196102924044354,28,A,40,1722.65625,40
28,30.338227822748053,63.93552190108846,62,A,41,1765.72265625,41
27,36.15053063792277,49.82143335672124,48,A,42,1808.7890625,42
32,41.08613481436663,56.62351537910515,55,A,42,1808.7890625,42
37,36.98540191372713,50.97202458996013,49,A,42,1808.7890625,42
27,23.728927631232878,51.5035649429895,50,A,43,1851.85546875,43
408,12.591497583880411,24.93816794689173,23,A,44,1894.921875,44
