Frequência (Hz)	Nível (dB)
43,066406	-0,549434
86,132812	-11,606190
129,199219	-17,034901
172,265625	-19,208755
215,332031	-20,294357
258,398438	-22,376371
301,464844	-23,180719
344,531250	-23,126369
387,597656	-25,045090
430,664062	-27,078470
473,730469	-27,355032
516,796875	-27,370478
559,863281	-25,589781
602,929688	-25,641504
645,996094	-29,010956
689,062500	-27,686531
732,128906	-27,460558
775,195312	-29,421534
818,261719	-30,025146
861,328125	-30,264524
904,394531	-31,355577
947,460938	-34,193230
990,527344	-34,826229
1033,593750	-33,611881
1076,660156	-33,190311
1119,726562	-34,186821
1162,792969	-31,701685
1205,859375	-32,607128
1248,925781	-32,948147
1291,992188	-33,086285
1335,058594	-34,479080
1378,125000	-36,862316
1421,191406	-37,350883
1464,257812	-36,749931
1507,324219	-36,278748
1550,390625	-34,917801
1593,457031	-37,264614
1636,523438	-38,084633
1679,589844	-36,490410
1722,656250	-34,793182
1765,722656	-35,341888
1808,789062	-37,794910
1851,855469	-36,973850
1894,921875	-36,127300
1937,988281	-37,971119
1981,054688	-36,769142
2024,121094	-34,306450
2067,187500	-35,213245
2110,253906	-35,150806
2153,320312	-32,865425
2196,386719	-35,212357
2239,453125	-39,483677
2282,519531	-37,197758
2325,585938	-37,433784
2368,652344	-40,430069
2411,718750	-40,385132
2454,785156	-37,665661
2497,851562	-36,354465
2540,917969	-37,940334
2583,984375	-37,818600
2627,050781	-39,192066
2670,117188	-41,501987
2713,183594	-38,566879
2756,250000	-35,521095
2799,316406	-37,149277
2842,382812	-40,986164
2885,449219	-39,607471
2928,515625	-39,285900
2971,582031	-42,579033
3014,648438	-38,645351
3057,714844	-33,544006
3100,781250	-33,630920
3143,847656	-36,786484
3186,914062	-38,705021
3229,980469	-38,868954
3273,046875	-39,396950
3316,113281	-40,245605
3359,179688	-38,686958
3402,246094	-38,865498
3445,312500	-38,023174
3488,378906	-39,457027
3531,445312	-41,445034
3574,511719	-44,398144
3617,578125	-41,764557
3660,644531	-41,144814
3703,710938	-42,704620
3746,777344	-42,879925
3789,843750	-38,100300
3832,910156	-37,948208
3875,976562	-38,893204
3919,042969	-38,204086
3962,109375	-38,634907
4005,175781	-37,604378
4048,242188	-40,703915
4091,308594	-42,688808
4134,375000	-43,492142
4177,441406	-44,093544
4220,507812	-45,357822
4263,574219	-43,167595
4306,640625	-42,744965
4349,707031	-43,234657
4392,773438	-43,438141
4435,839844	-44,417313
4478,906250	-45,063969
4521,972656	-45,569874
4565,039062	-45,329182
4608,105469	-46,162388
4651,171875	-44,889694
4694,238281	-45,886684
4737,304688	-46,541775
4780,371094	-46,792915
4823,437500	-45,287136
4866,503906	-44,968590
4909,570312	-43,420925
4952,636719	-42,221527
4995,703125	-42,672062
5038,769531	-42,868465
5081,835938	-42,873798
5124,902344	-43,388351
5167,968750	-44,566486
5211,035156	-44,557323
5254,101562	-42,706844
5297,167969	-42,103451
5340,234375	-44,756348
5383,300781	-44,953068
5426,367188	-44,505192
5469,433594	-44,544197
5512,500000	-42,873791
5555,566406	-42,848129
5598,632812	-42,955765
5641,699219	-43,146587
5684,765625	-41,625175
5727,832031	-41,141880
5770,898438	-42,923161
5813,964844	-44,228954
5857,031250	-45,366413
5900,097656	-46,118652
5943,164062	-45,305199
5986,230469	-45,177498
6029,296875	-44,999821
6072,363281	-45,244465
6115,429688	-44,699600
6158,496094	-46,362160
6201,562500	-46,407215
6244,628906	-43,779339
6287,695312	-45,184849
6330,761719	-48,967625
6373,828125	-50,518040
6416,894531	-50,245678
6459,960938	-50,232700
6503,027344	-46,019375
6546,093750	-44,569790
6589,160156	-46,507431
6632,226562	-47,641182
6675,292969	-48,339680
6718,359375	-49,111019
6761,425781	-47,097034
6804,492188	-45,914921
6847,558594	-44,269024
6890,625000	-43,060867
6933,691406	-46,733009
6976,757812	-51,218086
7019,824219	-50,284172
7062,890625	-49,693001
7105,957031	-50,727470
7149,023438	-50,624214
7192,089844	-47,794456
7235,156250	-45,134098
7278,222656	-44,551575
7321,289062	-44,561375
7364,355469	-44,598347
7407,421875	-47,073215
7450,488281	-47,502110
7493,554688	-48,834629
7536,621094	-48,030987
7579,687500	-48,255569
7622,753906	-46,517288
7665,820312	-44,757618
7708,886719	-46,835098
7751,953125	-48,397079
7795,019531	-47,389599
7838,085938	-45,893021
7881,152344	-47,229931
7924,218750	-46,996151
7967,285156	-45,746353
8010,351562	-43,446884
8053,417969	-44,221951
8096,484375	-45,087811
8139,550781	-45,807541
8182,617188	-45,829288
8225,683594	-46,680439
8268,750000	-46,930473
8311,816406	-47,999897
8354,882812	-52,134670
8397,949219	-50,503918
8441,015625	-46,303406
8484,082031	-45,155247
8527,148438	-47,551998
8570,214844	-50,203304
8613,281250	-51,352894
8656,347656	-51,102825
8699,414062	-49,256981
